Institute,Link,Coursename,Skills,Rating,Review,Level,Type,Duration,Platform
École des Ponts ParisTech,https://www.coursera.org/learn/electric-vehicles-mobility,electric vehicles mobility,Planning,4.5,1200,Beginner , Course , 3 - 6 Months,coursera
École des Ponts ParisTech,https://www.coursera.org/learn/mobilites-vehicules-electriques,mobilites vehicules electriques,,4.7,104,Beginner , Course , 1 - 3 Months,coursera
École des Ponts ParisTech,https://www.coursera.org/learn/lean-manufacturing-services,lean manufacturing services,"Strategy and Operations, Operations Management, Entrepreneurship, Performance Management, Business Process Management, Business Analysis, Business Psychology, Leadership and Management, Organizational Development",4.8,793,Beginner , Course , 1 - 4 Weeks,coursera
École normale supérieure,https://www.coursera.org/learn/cartographie,cartographie,,4.6,79,Beginner , Course , 1 - 3 Months,coursera
École normale supérieure,https://www.coursera.org/learn/transitions-energetiques-pays-du-sud,transitions energetiques pays du sud,Finance,4.8,351,Intermediate , Course , 1 - 3 Months,coursera
École normale supérieure,https://www.coursera.org/learn/statistical-mechanics,statistical mechanics,,4.8,264,Mixed , Course , 1 - 3 Months,coursera
École normale supérieure,https://www.coursera.org/learn/ecological-and-energetical-transitions-in-southern-countries,ecological and energetical transitions in southern countries,,4.8,29,Intermediate , Course , 1 - 3 Months,coursera
École normale supérieure,https://www.coursera.org/learn/transiciones-energeticas-y-ecologicas-en-los-paises-del-sur,transiciones energeticas y ecologicas en los paises del sur,,4.9,64,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique,https://www.coursera.org/learn/physique-deux-infinis-infiniment-grand,physique deux infinis infiniment grand,,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
École Polytechnique,https://www.coursera.org/learn/physique-deux-infinis-liens,physique deux infinis liens,,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
École Polytechnique,https://www.coursera.org/learn/physique-deux-infinis-et-nous,physique deux infinis et nous,,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
École Polytechnique,https://www.coursera.org/learn/infiniment-petit,infiniment petit,,0.0,0,Beginner , Course , 1 - 4 Weeks,coursera
École Polytechnique,https://www.coursera.org/specializations/physique-2infinis,physique 2infinis,,0.0,0,Beginner , Specialization , 3 - 6 Months,coursera
École Polytechnique,https://www.coursera.org/learn/wind-for-renewable-energies,wind for renewable energies,,3.6,125,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique,https://www.coursera.org/learn/seismology-to-earthquakes,seismology to earthquakes,,4.1,34,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique,https://www.coursera.org/learn/tech-startup,tech startup,"Entrepreneurship, Innovation, Leadership and Management, Strategy, Strategy and Operations, Planning",4.2,96,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique,https://www.coursera.org/learn/photovoltaic-solar-energy,photovoltaic solar energy,,4.2,454,Beginner , Course , 1 - 4 Weeks,coursera
École Polytechnique,https://www.coursera.org/learn/silicon-thin-film-solar-cells,silicon thin film solar cells,,4.2,116,Advanced , Course , 1 - 4 Weeks,coursera
École Polytechnique,https://www.coursera.org/learn/rediger-publier-article-scientifique,rediger publier article scientifique,Writing,4.5,118,Intermediate , Course , 1 - 4 Weeks,coursera
École Polytechnique,https://www.coursera.org/learn/fundamentals-waves-vibrations,fundamentals waves vibrations,,4.5,198,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique,https://www.coursera.org/learn/startup-technologique,startup technologique,"Entrepreneurship, Innovation, Leadership and Management, Strategy, Strategy and Operations, Project Management, Business Analysis, Business Development, Marketing, Planning",4.6,405,Mixed , Course , 1 - 3 Months,coursera
École Polytechnique,https://www.coursera.org/learn/hydro-wind-solar-power-resources-variability-forecast,hydro wind solar power resources variability forecast,Forecasting,4.6,106,Intermediate , Course , 1 - 3 Months,coursera
École Polytechnique,https://www.coursera.org/learn/how-to-write-a-scientific-paper,how to write a scientific paper,,4.6,2600,Mixed , Course , 1 - 4 Weeks,coursera
