Link,Type,Name,Instructure,Level,Duration,Date created,Rating
https://www.pluralsight.com/courses/oracle-database-12c-fundamentals,courses,Oracle Database 12c Fundamentals,by Tim Warner,Beginner,3h 42m,01-Oct-21,357.0
https://www.pluralsight.com/courses/oracle-database-12c-disaster-recovery,courses,Oracle Database 12c Disaster Recovery and Data Movement,by Tim Warner,Intermediate,3h 26m,01-Oct-21,65.0
https://www.pluralsight.com/courses/oracle-database-12c-installation-upgrade,courses,Oracle Database 12c: Installation and Upgrade,by Tim Warner,Beginner,2h 47m,01-Oct-21,152.0
https://www.pluralsight.com/courses/microsoft-azure-solutions-architect-design-databases,courses,Microsoft Azure Solutions Architect: Design for Databases,by John Savill,Advanced,1h 10m,04-Nov-20,35.0
https://www.pluralsight.com/courses/microsoft-azure-solutions-architect-implement-sql-databases-strategy,courses,Microsoft Azure Solutions Architect: Implement an Azure SQL Databases Strategy,by Aaron Sampson,Advanced,1h 17m,17-Nov-20,35.0
https://www.pluralsight.com/courses/microsoft-access-2016,courses,Microsoft Access (2016),by Patricia Ciszek,Beginner,4h 27m,08-Sep-16,55.0
https://www.pluralsight.com/courses/setting-up-cloud-databases-tables-snowflake,courses,Setting up Cloud Databases and Tables with Snowflake,by Thomas LeBlanc,Intermediate,57m,29-Apr-22,11.0
https://www.pluralsight.com/courses/aws-database-migration-service-migrating,courses,Migrating Databases with AWS Database Migration Service,by Michael Brown,Intermediate,1h 30m,09-Jul-19,32.0
https://www.pluralsight.com/courses/foundations-document-databases-mongodb,courses,Foundations of Document Databases with MongoDB,by Pinal Dave,Beginner,2h 28m,06-May-20,221.0
https://www.pluralsight.com/courses/executing-basic-queries-elasticsearch,courses,Executing Basic Queries with Elasticsearch,by Thomas Henson,Beginner,1h 24m,24-Mar-21,53.0
https://www.pluralsight.com/courses/querying-data-mongodb,courses,Querying Data from MongoDB,by Dan Geabunea,Beginner,1h 45m,11-Jun-20,85.0
https://www.pluralsight.com/courses/aws-databases-big-picture,courses,AWS Databases: The Big Picture,by Craig Golightly,Beginner,1h 49m,26-Nov-20,49.0
https://www.pluralsight.com/courses/querying-data-aws-databases,courses,Querying Data in AWS Databases,by Jeff Hopper,Intermediate,34m,21-May-20,16.0
https://www.pluralsight.com/courses/microsoft-azure-databases-access-securing,courses,Securing Access to Microsoft Azure Databases,by John Savill,Beginner,1h 24m,12-Feb-20,26.0
https://www.pluralsight.com/courses/enterprise-database-migration-3,courses,Enterprise Database Migration,by Google Cloud,Beginner,3h 36m,21-Aug-23,
https://www.pluralsight.com/courses/ssis-database-maintenance-playbook,courses,SSIS Database Maintenance Playbook,by Gerald Britton,Advanced,1h 10m,26-Jun-20,
https://www.pluralsight.com/courses/go-accessing-relational-databases,courses,Accessing Relational Databases in Go,by Pinal Dave,Intermediate,1h 4m,21-Jul-22,40.0
https://www.pluralsight.com/courses/understanding-database-architecture-oracle,courses,Understanding Database Architecture with Oracle,by Agaba Philip,Beginner,2h 49m,14-Jan-22,16.0
https://www.pluralsight.com/courses/working-databases-php,courses,Working with Databases in PHP 8,by Reza Salehi,Intermediate,2h 1m,07-Mar-22,24.0
https://www.pluralsight.com/courses/python-3-working-databases,courses,Working with Databases in Python 3,by Douglas Starnes,Intermediate,2h 43m,09-May-23,28.0
https://www.pluralsight.com/courses/apache-airflow-integrate-databases,courses,Integrate Databases with Apache Airflow,by Pinal Dave,Intermediate,14m,07-Jun-24,10.0
https://www.pluralsight.com/courses/data-engineers-database-design,courses,Database Design for Data Engineers,by Russ Thomas,Beginner,48m,31-May-24,
https://www.pluralsight.com/courses/vector-databases-embeddings-developers,courses,Vector Databases & Embeddings for Developers,by JS Padoan,Advanced,31m,13-Mar-24,19.0
https://www.pluralsight.com/courses/relational-databases-big-picture,courses,Relational Databases: The Big Picture,by Tom Taulli,Beginner,1h 56m,25-Apr-23,10.0
https://www.pluralsight.com/courses/sqlite-dao-room-database-creating,courses,"Creating a Database with SQLite, DAO, and Room",by Anthony Alampi,Advanced,1h 10m,18-Jun-21,34.0
https://www.pluralsight.com/courses/managing-database-instances-oracle-cert,courses,Managing Database Instances with Oracle,by Agaba Philip,Intermediate,38m,14-Mar-22,
https://www.pluralsight.com/courses/firebase-android-cloud-firestore,courses,Firebase on Android: Cloud Firestore,by Mitch Tabian,Intermediate,2h 14m,16-May-18,52.0
https://www.pluralsight.com/courses/microsoft-azure-database-playbook-monitoring,courses,Microsoft Azure Database Monitoring Playbook,by John Savill,Intermediate,1h 27m,12-Feb-20,23.0
https://www.pluralsight.com/courses/microsoft-azure-nosql-databases-implementing,courses,Implementing NoSQL Databases in Microsoft Azure,by Reza Salehi,Intermediate,3h 56m,09-Jun-20,93.0
https://www.pluralsight.com/courses/aws-amazon-neptune-graph-database,courses,Managing a Graph Database with Amazon Neptune,by Jeff Hopper,Intermediate,1h 19m,30-Apr-19,17.0
https://www.pluralsight.com/courses/sql-server-databases-powershell,courses,Accessing SQL Server Databases from Windows PowerShell,by Vlad Catrinescu,Beginner,55m,09-Apr-20,66.0
https://www.pluralsight.com/courses/oracle-database-12c-performance-tuning-optimization,courses,Oracle Database 12c Performance Tuning and Optimization,by Tim Warner,Beginner,2h 57m,01-Oct-21,88.0
https://www.pluralsight.com/courses/querying-data-postgresql,courses,Querying Data from PostgreSQL,"by Jason Browning, Ph.D.",Beginner,1h 28m,22-May-20,255.0
https://www.pluralsight.com/courses/posgresql-functions-playbook,courses,PostgreSQL Functions Playbook,by Gerald Britton,Advanced,2h 29m,10-Dec-19,35.0
https://www.pluralsight.com/courses/managing-modern-databases-generative-ai,courses,Managing Modern Databases with Generative AI,by Pinal Dave,Beginner,13m,26-Jun-24,
https://www.pluralsight.com/courses/go-accessing-non-relational-databases,courses,Accessing Non-relational Databases in Go,by Pinal Dave,Intermediate,47m,05-Oct-22,16.0
https://www.pluralsight.com/courses/managing-mysql-databases-stored-procedures,courses,Managing MySQL Databases and Stored Procedures,by Biswanath Halder,Beginner,1h 52m,29-Nov-23,
https://www.pluralsight.com/courses/apex-academy-soql-working-databases,courses,Apex Academy: SOQL and Working with Databases,by Scott Lee,Beginner,1h 17m,31-Aug-23,
https://www.pluralsight.com/courses/servicenow-asset-management-database-implementing,courses,Implementing the ServiceNow Asset Management Database,by Catalin Popa,Intermediate,1h 21m,18-Jun-24,
https://www.pluralsight.com/courses/spring-data-mongo-getting-started,courses,Spring Data Mongo: Getting Started,by Kesha Williams,Intermediate,1h 11m,07-May-19,35.0
https://www.pluralsight.com/courses/building-business-applications-vuejs,courses,Building Business Applications with Vue.js and MongoDB,by Mark Scott,Intermediate,3h 18m,17-Jul-18,59.0
https://www.pluralsight.com/courses/azure-sql-database-diagnosing-performance-issues-dmvs,courses,Azure SQL Database: Diagnosing Performance Issues with DMVs,by Glenn Berry,Intermediate,1h 30m,05-Sep-19,18.0
https://www.pluralsight.com/courses/sqlserver-2017-diagnosing-performance-issues-dmvs,courses,SQL Server 2017: Diagnosing Performance Issues with DMVs,by Glenn Berry,Intermediate,2h 44m,10-Jan-19,25.0
https://www.pluralsight.com/courses/oracle-database-program-plsql-creating-compound-ddl-event-database-triggers-cert,courses,"Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Creating Compound, DDL, and Event Database Triggers",by Agaba Philip,Intermediate,41m,23-Feb-22,
https://www.pluralsight.com/courses/sql-server-databases-docker-developing,courses,Developing SQL 14 Server Databases with Docker 20,by Chris Behrens,Intermediate,1h 52m,08-Jun-22,46.0
https://www.pluralsight.com/courses/comptia-itf-plus-software-development-databases-cert,courses,CompTIA ITF+: Software Development and Databases,by Michael Brown,Beginner,2h 20m,19-Aug-22,
https://www.pluralsight.com/courses/ocp-upgrade-oracle-database-12c-management,courses,OCP Upgrade to Oracle Database 12c Management,by Tim Boles,Advanced,2h 39m,01-Oct-21,11.0
https://www.pluralsight.com/courses/amazon-quantum-ledger-database-service-introduction,courses,Amazon Quantum Ledger Database (QLDB) Service Introduction,by AWS,Beginner,7m,08-Feb-21,
https://www.pluralsight.com/courses/importing-data-relational-databases-r,courses,Importing Data from Relational Databases in R 3,by Dan Tofan,Intermediate,1h 44m,19-Apr-22,
https://www.pluralsight.com/courses/accessing-oracle-database-oracle-supplied-tools,courses,Accessing an Oracle Database with Oracle Supplied Tools,by Tim Boles,Intermediate,1h 1m,24-Dec-21,
https://www.pluralsight.com/courses/schema-modeling-patterns-best-practices-document-databases,courses,Schema Modeling Patterns and Best Practices for Document Databases,by Nuri Halperin,Intermediate,1h 46m,18-Dec-19,38.0
https://www.pluralsight.com/courses/android-database-application-sqlite-building-your-first,courses,Building Your First Android Database Application with SQLite,by Simone Alessandria,Intermediate,3h,13-Jan-17,32.0
https://www.pluralsight.com/courses/asp-dot-net-core-6-webapi-using-nosql-databases,courses,Using ASP.NET Core Web API and NoSQL Databases,by Edward Curren,Intermediate,1h 57m,12-Apr-24,21.0
https://www.pluralsight.com/courses/microsoft-azure-solutions-architect-implement-nosql-databases-strategy,courses,Microsoft Azure Solutions Architect: Implement a NoSQL Databases Strategy,by Jurgen Kevelaers,Advanced,56m,10-Nov-20,29.0
https://www.pluralsight.com/courses/oracle-database-program-declaring-variables,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Declaring PL/SQL Variables,by Esteban Herrera,Beginner,1h 11m,03-Jan-22,13.0
https://www.pluralsight.com/courses/oracle-database-program-writing-executable-statements,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Writing Executable Statements,by Saravanan Dhandapani,Beginner,59m,30-Nov-21,
https://www.pluralsight.com/courses/android-firebase-database-cloud-storage,courses,Firebase on Android: Real-time Database and Cloud Storage,by Mitch Tabian,Intermediate,2h 3m,20-Nov-17,39.0
https://www.pluralsight.com/courses/sql-server-performance-every-developer-should-know,courses,What Every Developer Should Know About SQL Server Performance,by David Berry,Beginner,3h 22m,08-Sep-16,358.0
https://www.pluralsight.com/courses/oracle-database-program-managing-plsql-code-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Managing PL/SQL Code,by Pankaj Jain,Intermediate,1h 26m,04-Mar-22,
https://www.pluralsight.com/courses/sql-server-configuring-troubleshooting-database-mirroring,courses,"SQL Server: Understanding, Configuring and Troubleshooting Database Mirroring",by Glenn Berry,Intermediate,2h 31m,09-Feb-18,10.0
https://www.pluralsight.com/courses/oracle-database-program-plsql-creating-packages-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Creating Packages,by Pankaj Jain,Advanced,1h 7m,11-Jan-22,
https://www.pluralsight.com/courses/administering-amazon-aurora-amazon-rds,courses,Administering Amazon Aurora on Amazon RDS,by Aaron Medacco,Intermediate,3h 25m,16-Jan-19,51.0
https://www.pluralsight.com/courses/representing-processing-preparing-data,courses,"Representing, Processing, and Preparing Data",by Janani Ravi,Beginner,2h 45m,07-Aug-20,145.0
https://www.pluralsight.com/courses/oracle-database-program-handling-exceptions,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Handling Exceptions,by Elias Fofanov,Intermediate,56m,18-Jan-22,
https://www.pluralsight.com/courses/oracle-database-program-using-compile,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Using the PL/SQL Compiler,by Esteban Herrera,Intermediate,1h 20m,26-Apr-22,
https://www.pluralsight.com/courses/oracle-database-program-plsql-using-dynamic-sql-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Using Dynamic SQL,by Alexandru Huiban,Advanced,51m,14-Mar-22,
https://www.pluralsight.com/courses/aws-database-amazon-elasticache,courses,Connecting and Deploying Amazon ElastiCache,by Tom Compagno,Intermediate,1h 36m,15-May-19,26.0
https://www.pluralsight.com/courses/oracle-database-program-design-considerations-code-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Design Considerations for PL/SQL Code,by Pankaj Jain,Advanced,1h 44m,15-Apr-22,
https://www.pluralsight.com/courses/oracle-database-program-plsql-working-packages-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Working with Packages,by Pankaj Jain,Advanced,1h 5m,24-Jan-22,
https://www.pluralsight.com/courses/oracle-database-program-creating-functions-cert,courses,Oracle Database Program with PL/SQL Exam Number: 1Z0-149 - Creating Functions,by Elias Fofanov,Advanced,1h 4m,20-Jan-22,
