Name of he course ,Link,Rating,Duration,Level
Data Analyst,https://www.udacity.com/course/data-analyst-nanodegree--nd002,1184,1 day, Discovery
Introduction to Programming,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,1309,1 day, Discovery
Deep Learning,https://www.udacity.com/course/deep-learning-nanodegree--nd101,909,1 day, Discovery
AI Programming with Python,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,592,1 day, Discovery
Digital Marketing,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,957,1 day, Discovery
Data Engineering with AWS,https://www.udacity.com/course/data-engineer-nanodegree--nd027,1132,1 day, Discovery
Business Analytics,https://www.udacity.com/course/business-analytics-nanodegree--nd098,1194,1 day, Discovery
iOS Development with SwiftUI and SwiftData,https://www.udacity.com/course/ios-developer-nanodegree--nd003,225,1 day, Discovery
Programming for Data Science with Python,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,807,1 day, Discovery
Data Scientist,https://www.udacity.com/course/data-scientist-nanodegree--nd025,781,1 day, Discovery
React,https://www.udacity.com/course/react-nanodegree--nd019,523,1 day, Discovery
Product Manager,https://www.udacity.com/course/product-manager-nanodegree--nd036,588,1 day, Discovery
C++,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,729,1 day, Discovery
Full Stack Web Developer,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044,449,1 day, Discovery
Data Structures and Algorithms,https://www.udacity.com/course/data-structures-and-algorithms-nanodegree--nd256,498,1 day, Discovery
Front End Web Developer,https://www.udacity.com/course/front-end-web-developer-nanodegree--nd0011,802,1 day, Discovery
AI for Trading,https://www.udacity.com/course/ai-for-trading--nd880,496,1 day, Discovery
User Experience,https://www.udacity.com/course/ux-designer-nanodegree--nd578,672,1 day, Discovery
Natural Language Processing,https://www.udacity.com/course/natural-language-processing-nanodegree--nd892,275,1 day, Discovery
Cloud DevOps Engineer,https://www.udacity.com/course/cloud-dev-ops-nanodegree--nd9991,416,1 day, Discovery
Computer Vision,https://www.udacity.com/course/computer-vision-nanodegree--nd891,450,1 day, Discovery
Cloud Developer,https://www.udacity.com/course/cloud-developer-nanodegree--nd9990,398,1 day, Fluency
